PI	Sub-Code	Wavelength Corrected File	Original  File	Sample ID	Date	Start	Stop	Rel	Source Angle	Detect Angle
JBA	LS	CLS600.DAT	WLS600.DAT	LS-JBA-001    	21-Apr-86	351	2515	3	NA	NA
JBA	LS	CLS504.DAT	WLS504.DAT	LS-JBA-001-P1 	2-Jul-85	351	2515	3	NA	NA
JBA	LS	CLS505.DAT	WLS505.DAT	LS-JBA-001-P1 	2-Jul-85	351	2515	3	NA	NA
JBA	LS	CLS508.DAT	WLS508.DAT	LS-JBA-001-P1 	2-Jul-85	351	2515	3	NA	NA
JBA	LS	CLS509.DAT	WLS509.DAT	LS-JBA-001-P1 	2-Jul-85	351	2515	3	NA	NA
JBA	LS	CLS741.DAT	WLS741.DAT	LS-JBA-001-P1 	16-Dec-90	351	2537	5	NA	NA
JBA	LS	CLS089.DAT	WLS089.DAT	LS-JBA-001-P2 	2-Jul-85	351	2515	3	NA	NA
JBA	LS	CLS070.DAT	WLS070.DAT	LS-JBA-003    	2-Jul-85	351	2515	3	NA	NA
JBA	LS	CLS074.DAT	WLS074.DAT	LS-JBA-003    	2-Jul-85	351	2515	3	NA	NA
JBA	LS	CLS076.DAT	WLS076.DAT	LS-JBA-003    	2-Jul-85	351	2515	3	NA	NA
JBA	LS	CLS080.DAT	WLS080.DAT	LS-JBA-003    	2-Jul-85	351	2515	3	NA	NA
JBA	LS	CLS434.DAT	WLS434.DAT	LS-JBA-004    	2-Jul-85	351	2515	3	NA	NA
JBA	LS	CLS437.DAT	WLS437.DAT	LS-JBA-004    	2-Jul-85	351	2515	3	NA	NA
JBA	LS	CLS331.DAT	WLS331.DAT	LS-JBA-005    	2-Jul-85	351	2515	3	NA	NA
JBA	LS	CLS135.DAT	WLS135.DAT	LS-JBA-006-M  	2-Jul-85	351	2515	3	NA	NA
JBA	LS	CLS716.DAT	WLS716.DAT	LS-JBA-006-N  	16-Dec-90	351	2537	5	NA	NA
JBA	LS	CLS717.DAT	WLS717.DAT	LS-JBA-006-N  	16-Dec-90	351	2537	5	NA	NA
JBA	LS	CLS718.DAT	WLS718.DAT	LS-JBA-006-N  	16-Dec-90	351	2537	5	NA	NA
JBA	LS	CLS117.DAT	WLS117.DAT	LS-JBA-006-N1 	2-Jul-85	351	2515	3	NA	NA
JBA	LS	CLS719.DAT	WLS719.DAT	LS-JBA-006-N1 	16-Dec-90	351	2537	5	NA	NA
JBA	LS	CLS136.DAT	WLS136.DAT	LS-JBA-006-N2 	2-Jul-85	351	2515	3	NA	NA
JBA	LS	CLS138.DAT	WLS138.DAT	LS-JBA-006-N3 	2-Jul-85	351	2515	3	NA	NA
JBA	LS	CLS139.DAT	WLS139.DAT	LS-JBA-006-N4 	2-Jul-85	351	2515	3	NA	NA
JBA	LS	CLS141.DAT	WLS141.DAT	LS-JBA-006-N5 	2-Jul-85	351	2515	3	NA	NA
JBA	LS	CLS052.DAT	WLS052.DAT	LS-JBA-006-P1 	2-Jul-85	351	2515	3	NA	NA
JBA	LS	CLS651.DAT	WLS651.DAT	LS-JBA-006-P1 	16-Dec-90	351	2537	5	NA	NA
JBA	LS	CLS715.DAT	WLS715.DAT	LS-JBA-006-P1 	16-Dec-90	351	2537	5	NA	NA
JBA	LS	CLS720.DAT	WLS720.DAT	LS-JBA-006-P1 	16-Dec-90	351	2537	5	NA	NA
JBA	LS	CLS736.DAT	WLS736.DAT	LS-JBA-006-P1 	16-Dec-90	351	2537	5	NA	NA
JBA	LS	CLS134.DAT	WLS134.DAT	LS-JBA-006-P2 	2-Jul-85	351	2515	3	NA	NA
JBA	LS	CLS137.DAT	WLS137.DAT	LS-JBA-006-P3 	2-Jul-85	351	2515	3	NA	NA
JBA	LS	CLS142.DAT	WLS142.DAT	LS-JBA-006-P4 	2-Jul-85	351	2515	3	NA	NA
JBA	LS	CLS143.DAT	WLS143.DAT	LS-JBA-006-P5 	2-Jul-85	351	2515	3	NA	NA
JBA	LS	CLS144.DAT	WLS144.DAT	LS-JBA-006-P6 	2-Jul-85	351	2515	3	NA	NA
JBA	LS	CLS146.DAT	WLS146.DAT	LS-JBA-006-P7 	2-Jul-85	351	2515	3	NA	NA
JBA	LS	CLS147.DAT	WLS147.DAT	LS-JBA-006-P8 	2-Jul-85	351	2515	3	NA	NA
JBA	LS	CLS454.DAT	WLS454.DAT	LS-JBA-020    	2-Jul-85	351	2515	3	NA	NA
JBA	LS	CLS850.DAT	WLS850.DAT	LS-JBA-020    	16-Dec-90	351	2537	5	NA	NA
JBA	LS	CLS851.DAT	WLS851.DAT	LS-JBA-020    	16-Dec-90	351	2357	5	NA	NA
JBA	LS	CLS077.DAT	WLS077.DAT	LS-JBA-021    	2-Jul-85	351	2515	3	NA	NA
JBA	LS	CLS852.DAT	WLS852.DAT	LS-JBA-021    	16-Dec-90	351	2537	5	NA	NA
JBA	LS	CLS853.DAT	WLS853.DAT	LS-JBA-021    	16-Dec-90	351	2447	5	NA	NA
JBA	LS	CLS140.DAT	WLS140.DAT	LS-JBA-031    	2-Jul-85	351	2515	3	NA	NA
JBA	LS	CLS486.DAT	WLS486.DAT	LS-JBA-032    	2-Jul-85	351	2515	3	NA	NA
JBA	LS	CLS448.DAT	WLS448.DAT	LS-JBA-033    	2-Jul-85	351	2515	3	NA	NA
JBA	LS	CLS451.DAT	WLS451.DAT	LS-JBA-033    	2-Jul-85	351	2515	3	NA	NA
JBA	LS	CLS457.DAT	WLS457.DAT	LS-JBA-033    	2-Jul-85	351	2515	3	NA	NA
JBA	LS	CLS433.DAT	WLS433.DAT	LS-JBA-034-P  	2-Jul-85	351	2515	3	NA	NA
JBA	LS	CLS037.DAT	WLS037.DAT	LS-JBA-034-X  	2-Jul-85	351	2515	3	NA	NA
