Rec #	Sample ID	Mineral	%SiO2	%TiO2	%Al2O3	%Cr2O3	%Fe2O3	%FeO	%MnO	%MgO	%CaO	%Na2O	%K2O	%P2O5	%LOI	Cu(ppm)	Ni(ppm)	Co(ppm)	Zn(ppm)	V(ppm)	Source	Text
1	TS-JWS-002          	BULK	61.71	0.34	13.42	0.00	2.32	0.00	0.09	1.64	7.36	4.61	5.69	0.19	0.00	0.00	0.00	0.00	0.00	0.00	                                                                        	JWS Bu-1a                                                               
2	TS-JWS-003          	BULK	78.06	0.19	9.88	0.00	1.40	0.00	0.08	0.46	1.40	3.96	4.38	0.03	0.00	0.00	0.00	0.00	0.00	0.00	                                                                        	JWS MM-2                                                                
3	TS-JWS-001          	BULK	67.37	0.58	14.23	0.00	6.67	0.00	0.09	0.27	0.82	3.70	5.83	0.17	0.00	0.00	0.00	0.00	0.00	0.00	                                                                        	JWS Br-4                                                                
4	SC-EAC-002          	OLV 	40.64	0.00	0.00	0.01	0.59	9.25	0.09	49.13	0.07	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	                                                                        	Ed Cloutis' OLV003                                                      
5	PO-EAC-052          	BULK	41.72	0.00	0.00	0.00	0.00	3.12	0.19	54.65	0.63	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	                                                                        	Ed Cloutis' OLV007                                                      
6	PO-EAC-056          	OLV 	40.42	0.00	0.03	0.13	0.00	11.11	0.15	48.25	0.19	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	                                                                        	Ed Cloutis' OLV010                                                      
7	PO-EAC-058          	OLV 	29.78	0.00	0.00	0.00	0.00	66.48	2.14	0.05	0.05	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	                                                                        	Ed Cloutis' OLV011                                                      
8	PO-EAC-060          	OLV 	40.95	0.00	0.00	0.00	0.00	8.05	0.10	50.83	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	                                                                        	Ed Cloutis' OLV012                                                      
9	PO-EAC-062          	OLV 	36.15	0.03	0.00	0.00	0.00	34.97	0.47	28.86	0.03	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	                                                                        	Ed Cloutis' OLV020                                                      
10	PO-EAC-064          	OLV 	40.14	0.01	0.00	0.00	0.00	13.36	0.19	45.55	0.03	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	                                                                        	Ed Cloutis' OLV021                                                      
11	PP-EAC-040          	PYX 	50.33	0.41	5.46	0.11	1.43	17.30	0.29	23.58	1.59	0.05	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	                                                                        	Ed Cloutis' PYX003                                                      
12	PP-EAC-042          	PYX 	49.99	0.53	6.21	0.13	0.58	16.56	0.26	22.31	3.99	0.06	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	                                                                        	Ed Cloutis' PYX112                                                      
13	PO-EAC-044          	PYX 	53.54	0.03	1.54	0.07	1.02	16.17	0.44	27.53	0.35	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	                                                                        	Ed Cloutis' PYX117                                                      
14	PP-EAC-046          	PYX 	52.07	0.21	6.34	1.39	0.01	3.25	0.10	16.42	19.38	1.31	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	                                                                        	Ed Cloutis' PYX015                                                      
15	PP-EAC-048          	PYX 	52.06	0.35	0.98	0.07	1.32	11.38	0.29	13.96	19.31	0.22	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	                                                                        	Ed Cloutis' PYX103                                                      
16	PP-EAC-050          	BULK	51.82	0.84	1.96	0.09	0.22	10.46	0.24	16.04	18.00	0.19	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	                                                                        	Ed Cloutis' PYX115                                                      
17	SC-EAC-006          	MET 	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	                                                                        	Ed Cloutis' MET101 Odessa                                               
