PI	Sub-Code	Wavelength Corrected File	Original File	Sample ID	Date	Start	Stop	Resl	Source Angle	Detect Angle
MJG	MR	CGN003.DAT	MGN003.DAT	MR-MJG-020    	1-Jul-87	350	2520	5	NA	NA
MJG	MR	CGN005.DAT	MGN005.DAT	MR-MJG-020    	1-Jul-87	350	2520	5	NA	NA
MJG	MR	CGN007.DAT	MGN007.DAT	MR-MJG-021    	1-Jul-87	350	2520	5	NA	NA
MJG	MR	CGN009.DAT	MGN009.DAT	MR-MJG-021    	1-Jul-87	350	2520	5	NA	NA
MJG	MR	CGN011.DAT	MGN011.DAT	MR-MJG-022    	1-Jul-87	350	2520	5	NA	NA
MJG	MR	CGN013.DAT	MGN013.DAT	MR-MJG-022    	1-Jul-87	350	2520	5	NA	NA
MJG	MR	CGN015.DAT	MGN015.DAT	MR-MJG-023    	1-Jul-87	350	2520	5	NA	NA
MJG	MR	CGN017.DAT	MGN017.DAT	MR-MJG-024    	1-Jul-87	350	2520	5	NA	NA
MJG	MR	CGN019.DAT	MGN019.DAT	MR-MJG-024    	1-Jul-87	350	2520	5	NA	NA
MJG	MR	CGN023.DAT	MGN023.DAT	MR-MJG-025    	1-Jul-87	350	2520	5	NA	NA
MJG	MR	CGN025.DAT	MGN025.DAT	MR-MJG-026    	1-Jul-87	350	2520	5	NA	NA
MJG	MR	CGN031.DAT	MGN031.DAT	MR-MJG-027    	1-Jul-87	350	2520	5	NA	NA
MJG	MR	CGN033.DAT	MGN033.DAT	MR-MJG-028    	1-Jul-87	350	2520	5	NA	NA
MJG	MR	CGN035.DAT	MGN035.DAT	MR-MJG-029    	1-Jul-87	350	2520	5	NA	NA
MJG	MR	CGN037.DAT	MGN037.DAT	MR-MJG-030    	1-Jul-87	350	2520	5	NA	NA
MJG	MR	CGN039.DAT	MGN039.DAT	MR-MJG-031    	1-Jul-87	350	2520	5	NA	NA
MJG	MR	CGN041.DAT	MGN041.DAT	MR-MJG-032    	1-Jul-87	350	2520	5	NA	NA
MJG	MR	CGN043.DAT	MGN043.DAT	MR-MJG-033    	1-Jul-87	350	2520	5	NA	NA
MJG	MR	CGN045.DAT	MGN045.DAT	MR-MJG-033    	1-Jul-87	350	2520	5	NA	NA
MJG	MR	CGN047.DAT	MGN047.DAT	MR-MJG-034    	1-Jul-87	350	2520	5	NA	NA
MJG	MR	CGN049.DAT	MGN049.DAT	MR-MJG-034    	1-Jul-87	350	2520	5	NA	NA
MJG	MR	CGN051.DAT	MGN051.DAT	MR-MJG-035    	1-Jul-87	350	2520	5	NA	NA
MJG	MR	CGN053.DAT	MGN053.DAT	MR-MJG-035    	1-Jul-87	350	2520	5	NA	NA
MJG	MR	CGN055.DAT	MGN055.DAT	MR-MJG-036    	1-Jul-87	350	2520	5	NA	NA
MJG	MR	CGN021.DAT	MGN021.DAT	MR-MJG-038    	1-Jul-87	350	2520	5	NA	NA
MJG	MR	CGN027.DAT	MGN027.DAT	MR-MJG-039    	1-Jul-87	350	2520	5	NA	NA
MJG	MR	CGN029.DAT	MGN029.DAT	MR-MJG-040    	1-Jul-87	350	2520	5	NA	NA
MJG	MR	CGN057.DAT	MGN057.DAT	MR-MJG-041    	1-Jul-87	350	2520	5	NA	NA
MJG	MR	CGN059.DAT	MGN059.DAT	MR-MJG-042    	1-Jul-87	350	2520	5	NA	NA
MJG	MR	CGN061.DAT	MGN061.DAT	MR-MJG-043    	1-Jul-87	350	2520	5	NA	NA
MJG	MR	CGN063.DAT	MGN063.DAT	MR-MJG-044    	1-Jul-87	350	2520	5	NA	NA
