SpecCode	Spectrometer	MeasurementType	Affiliation
BCF-FTIR1	Nicolet 740 with Spectra-Tech Auto Diffuse	Reflectance (Off-axis biconical FT-IR)	"RELAB, Brown University"
BCF-FTIR2	Thermo Nexus 870 with PIKE AutoDiff	Reflectance (Off-axis biconical FT-IR)	"RELAB, Brown University"
BC-FTIR1	Nicolet 740 with PIKE AutoDiff	Reflectance (On-axis biconical FT-IR)	"RELAB, Brown University"
BC-FTIR2	Thermo Nexus 870 with Spectra-Tech Auto Diffuse	Reflectance (On-axis biconical FT-IR)	"RELAB, Brown University"
BD-VNIR	RELAB Bidirectional Spectrometer	Reflectance (Bidirectional UV-Visible-NIR)	"RELAB, Brown University"
BD-VNIR+BCF-FTIR1	BD-VNIR & BCF-FTIR1 combined	Reflectance (UV-Visible-NIR and FT-IR combined)	"RELAB, Brown University"
BD-VNIR+BCF-FTIR2	BD-VNIR & BCF-FTIR2 combined	Reflectance (UV-Visible-NIR and FT-IR combined)	"RELAB, Brown University"
BD-VNIR+BC-FTIR1	BD-VNIR & BC-FTIR1 combined	Reflectance (UV-Visible-NIR and FT-IR combined)	"RELAB, Brown University"
BD-VNIR+BC-FTIR2	BD-VNIR & BC-FTIR2 combined	Reflectance (UV-Visible-NIR and FT-IR combined)	"RELAB, Brown University"
DHC-VNIR	J. B. Adams' Spectrometer (Wavelength corrected)	Reflectance (Directional-hemispherical UV-Visible-NIR)	"Remote Sensing and Planetary Sciences Lab, University of Washington"
DH-VNIR	J. B. Adams' Spectrometer	Reflectance (Directional-hemispherical UV-Visible-NIR)	"Remote Sensing and Planetary Sciences Lab, University of Washington"
FBD-VNIR	J. F. Mustard's ASD field spectrometer	Reflectance (Bidirectional UV-Visible-NIR)	"Planetary Geology, Brown University"
FBD-VNIR2	R. E. Milliken's ASD FieldSpec 3	Reflectance (Bidirectional UV-Visible-NIR)	"Planetary Geology, Brown University"
MBD-VIS	C. M. Pieters' mini portable spectrometer	Reflectance (Bidirectional extended visible)	"Planetary Geology, Brown University"
TR-FTIR1	Nicolet 740	Transmittance (FT-IR)	"RELAB, Brown University"
TR-FTIR2	Thermo Nexus 870	Transmittance (FT-IR)	"RELAB, Brown University"
TR-VNIR	RELAB Bidirectional Spectrometer	Transmittance (UV-Visible-NIR)	"RELAB, Brown University"
UR-FTIR2	Thermo Nexus 870 with Continuum	Reflectance (Microscopic FT-IR)	"RELAB, Brown University"
UT-FTIR2	Thermo Nexus 870 with Continuum	Transmittance (Microscopic FT-IR)	"RELAB, Brown University"
AE-FTIR2	Thermo Nexus 870 with ALEC (Asteroid and Lunar Environmental Chamber)	Emittance (FT-IR)	"RELAB, Brown University"
