Sample ID	Text	Unit	Mineral #1	%	Chem. #	Mineral #2	%	Chem. #	Mineral #3	%	Chem. #	Mineral #4	%	Chem. #	Mineral #5	%	Chem. #	Mineral #6	%	Chem. #	Mineral #7	%	Chem. #	Mineral #8	%	Chem. #	Mineral #9	%	Chem. #	Mineral #10	%	Chem. #
CC-JFM-018          	JSC Mars-1		   	0.00 	0	CAL	0.00 	0	ALU	0.00 	0	   	0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0
CL-EAC-023-E        	COAL16E 		MOI	1.50 	0	ASH	28.50 	0	VOL	26.40 	0	CAR	43.50 	0	   	0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0
CL-EAC-024-E        	COAL20E 		MOI	1.00 	0	ASH	18.40 	0	VOL	20.30 	0	CAR	60.30 	0	   	0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0
CL-EAC-025-E        	COAL21E 		MOI	0.50 	0	ASH	6.70 	0	VOL	17.70 	0	CAR	75.10 	0	   	0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0
CL-EAC-026-E        	COAL22E 		MOI	3.10 	0	ASH	15.60 	0	VOL	6.90 	0	CAR	74.40 	0	   	0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0
CL-EAC-030          	COAL30		ASH	6.60 	0	MOI	33.20 	0	VOL	30.50 	0	CAR	30.70 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0
CL-EAC-031          	COAL31		ASH	6.30 	0	MOI	28.10 	0	VOL	32.20 	0	CAR	33.00 	0	   	0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0
CL-EAC-032          	COAL32		ASH	14.30 	0	MOI	8.00 	0	VOL	36.90 	0	CAR	40.90 	0	   	0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0
CL-EAC-033          	COAL33		ASH	4.50 	0	MOI	4.60 	0	VOL	43.70 	0	CAR	52.80 	0	   	0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0
CL-EAC-034          	COAL34		ASH	19.40 	0	MOI	2.42 	0	VOL	29.40 	0	CAR	52.20 	0	   	0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0
CL-EAC-035          	COAL35		ASH	9.10 	0	MOI	1.65 	0	VOL	37.20 	0	CAR	52.00 	0	   	0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0
CL-EAC-036          	COAL36		ASH	13.00 	0	MOI	1.10 	0	VOL	27.10 	0	CAR	58.70 	0	   	0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0
CL-EAC-037          	COAL37		ASH	4.70 	0	MOI	0.70 	0	VOL	18.50 	0	CAR	76.10 	0	   	0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0
CL-EAC-091-E        	COAL11E 		MOI	26.40 	0	ASH	8.60 	0	VOL	30.60 	0	CAR	34.30 	0	   	0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0
CL-EAC-092-E        	COAL12E 		MOI	12.10 	0	ASH	9.50 	0	VOL	32.00 	0	CAR	46.40 	0	   	0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0
CL-EAC-093-E        	COAL13E 		MOI	6.10 	0	ASH	10.50 	0	VOL	33.70 	0	CAR	49.70 	0	   	0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0
CY-PLH-001          	Actinolite		   	0.00 	0	   	0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0
DB-ACM-001	Dolerite	Wt	FSP	44.00 	0	CLY	19.00 	0	PYX	20.00 	0	ZEO	8.00 	0	QTZ	8.00 	0	AMP	1.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0
DB-ACM-003	Station A Soil	Wt	FSP	19.00 	0	CLY	15.00 	0	PYX	10.00 	0	ZEO	5.00 	0	QTZ	2.00 	0	GYP	34.00 	0	BAS	15.00 	0		0.00 	0		0.00 	0		0.00 	0
DB-ACM-004	Station B Soil	Wt	FSP	37.00 	0	CLY	30.00 	0	PYX	7.00 	0	ZEO	9.00 	0	QTZ	8.00 	0	GYP	6.00 	0	BAS	2.00 	0	AMP	1.00 	0		0.00 	0		0.00 	0
ER-TGS-001	Mixture Pellet	Wt	AUG	97.50 	652	ASI	2.50 	653		0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0
ER-TGS-002	Mixture Pellet	Wt	AUG	95.00 	652	ASI	5.00 	653		0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0
ER-TGS-003	Mixture Pellet	Wt	AUG	90.00 	652	ASI	10.00 	653		0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0
ER-TGS-004	Mixture Pellet	Wt	AUG	80.00 	652	ASI	20.00 	653		0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0
ER-TGS-005	Mixture Pellet	Wt	AUG	97.50 	652	MON	2.50 	654		0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0
