RefCode	Author(s)	Year	Title	Journal/Book	Vol/Chap	Pages	URL																																																																																																																																																																																																																																																								
Bishop_etal-PSS(2002)	"J. L. Bishop, A. Banin, R. L. Mancinelli, M. R. Klovstad"	2002	Detection of soluble and fixed NH4+ in clay minerals by DTA and IR reflectance spectroscopy: A potential tool for planetary surface exploration	Planetary Space Science	50	11-19																																																																																																																																																																																																																																																									
Fischer-PhD3(1995)	Erich M. Fischer	1995	"The evolution of lunar soils: A model for optical alteration, and an integrated analysis of space weathering effects"	"Quantitative compositional analysis of the lunar surface from reflectance spectroscopy: Iron, aluminum, and a model for removing the optical effects of space weathering, Ph.D. thesis, Brown University"	3	92-174																																																																																																																																																																																																																																																									
Hiroi_Sasaki-MPS(2001)	Takahiro Hiroi and Sho Sasaki	2001	Importance of space weathering simulation products in compositional modeling of asteroids: 349 Dembowske and 446 Aeternitas as examples	Meteoritics and Planetary Science	36	1587-1596																																																																																																																																																																																																																																																									
Hiroi_etal-MPS(1996)	"Takahiro Hiroi, Michael E. Zolensky, Carle M. Pieters, M. E. Lipschutz"	1996	"Thermal metamorphism of the C, G, B, and F asteroid seen from the 0.7 micron, 3 micron, and UV absorption strengths in comparison with carbonaceous chondrites"	Meteoritics and Planetary Science	31	321-327																																																																																																																																																																																																																																																									
Hiroi_etal-Sci(2001)	"Takahiro Hiroi, Michael E. Zolensky, Carle M. Pieters"	2001	The Tagish Lake meteorite: A possible sample from a D-type asteroid	Science	293	2234-2236																																																																																																																																																																																																																																																									
Hiroi_etal-Sci(1993)	"Takahiro Hiroi, Carle M. Pieters, Michael E. Zolensky, Michael E. Lipschutz"	1993	"Evidence of thermal metamorphism on the C, G, B, and F asteroids"	Science	261	1016-1018																																																																																																																																																																																																																																																									
Pieters-RGCA14(1993)	Carle M. Pieters	1993	Compositional diversity and stratigraphy of the lunar crust derived from reflectance spectroscopy	"Remote Geochemical Analysis, Cambridge University Press"	14	309-339																																																																																																																																																																																																																																																									
Hiroi_Pieters-JGR(1994)	"Takahiro Hiroi, Carle M. Pieters"	1994	Estimation of grain sizes and mixing ratios of fine powder mixtures of common geologic minerals	Journal of Geophysical Research	99	10867-10879																																																																																																																																																																																																																																																									
Hiroi_etal-Met(1994)	"Takahiro Hiroi, Carle M. Pieters, Hiroshi Takeda"	1994	Grain size of the surface regolith of asteroid 4 Vesta estimated from its reflectance spectrum in comparison with HED meteorites	Meteoritics	29	394-396																																																																																																																																																																																																																																																									
Klima_etal-MAPS(2007)	"Rachel L. Klima, Carle M. Pieters, M. Darby Dyar"	2007	Spectroscopy of synthetic Mg-Fe pyroxenes I:  Spin-allowed and spin-forbidden crystal field bands in the visible and near-infrared	Meteoritics and Planetary Science	42	235-253																																																																																																																																																																																																																																																									
Dyar_etal-AmMin(2009)	"M. D. Dyar, E. C. Sklute, O. N. Menzies, P. A. Bland, D. Lindsley, T. Glotch, M. D. Lane, M. W. Schaefer, B. Wopenka, R. Klima, J. L. Bishop, T. Hiroi, C. Pieters, J. Sunshine"	2009	Spectroscopic characteristics of synthetic olivine:  An integrated multi-wavelength and multi-technique approach	American Mineralogist	94	883-898																																																																																																																																																																																																																																																									
