SpectrumID	SampleID	Date	ReleaseDate	SpecCode	Start	Stop	Resolution	SourceAngle	DetectAngle	AzimuthAngle	PhaseAngle	Temperature	Atmosphere	PhotoFile	Spinning	Aperture	Scrambler	Depolarizer	User	NASA_PI_Sponsor	ResearchType	Reference			
BIR1AA001	AA-A1S-001	10-Jun-08	10-Jun-11	BCF-FTIR2	1000	25050	4.0	NA	NA	NA	NA	Room	Dry air		No	20.0	Out	Out	MAS	A1S	Astrobiology				
BKR1AA001	AA-A1S-001	10-Jun-08	10-Jun-11	BD-VNIR+B?F-FTIR2	280	25050	4.0	NA	NA	NA	NA	Room	Ambient+Dry		No	20.0	Out	Out	MAS	A1S	Astrobiology				
C1AA01	AA-A1S-001	29-Oct-08	29-Oct-11	BD-VNIR	280	2550	10.0	30.0	0.0	0.0	30.0	Room	Ambient		Yes	3.0	In 	Out	MAS	A1S	Astrobiology				
BIR1AA002	AA-A1S-002	10-Jun-08	10-Jun-11	BCF-FTIR2	909	25050	4.0	NA	NA	NA	NA	Room	Dry air		No	55.0	Out	Out	MAS	A1S	Astrobiology				
BKR1AA002	AA-A1S-002	10-Jun-08	10-Jun-11	BD-VNIR+B?F-FTIR2	280	25050	4.0	NA	NA	NA	NA	Room	Ambient+Dry		No	55.0	Out	Out	MAS	A1S	Astrobiology				
C1AA02	AA-A1S-002	29-Oct-08	29-Oct-11	BD-VNIR	280	2550	10.0	30.0	0.0	0.0	30.0	Room	Ambient		Yes	5.0	In 	Out	MAS	A1S	Astrobiology				
BIR1AA003	AA-A1S-003	10-Jun-08	10-Jun-11	BCF-FTIR2	909	25050	4.0	NA	NA	NA	NA	Room	Dry air		No	55.0	Out	Out	MAS	A1S	Astrobiology				
BKR1AA003	AA-A1S-003	10-Jun-08	10-Jun-11	BD-VNIR+B?F-FTIR2	280	25050	4.0	NA	NA	NA	NA	Room	Ambient+Dry		No	55.0	Out	Out	MAS	A1S	Astrobiology				
C1AA03	AA-A1S-003	29-Oct-08	29-Oct-11	BD-VNIR	280	2550	10.0	30.0	0.0	0.0	30.0	Room	Ambient		Yes	5.0	In 	Out	MAS	A1S	Astrobiology				
BIR1AA004	AA-A1S-004	10-Jun-08	10-Jun-11	BCF-FTIR2	909	25050	4.0	NA	NA	NA	NA	Room	Dry air		No	55.0	Out	Out	MAS	A1S	Astrobiology				
BKR1AA004	AA-A1S-004	10-Jun-08	10-Jun-11	BD-VNIR+B?F-FTIR2	280	25050	4.0	NA	NA	NA	NA	Room	Ambient+Dry		No	55.0	Out	Out	MAS	A1S	Astrobiology				
C1AA04	AA-A1S-004	29-Oct-08	29-Oct-11	BD-VNIR	280	2550	10.0	30.0	0.0	0.0	30.0	Room	Ambient		Yes	5.0	In 	Out	MAS	A1S	Astrobiology				
CFAB02	AB-DTB-002-F	4-Apr-96	31-Dec-00	BD-VNIR	300	2600	5.0	30.0	0.0	0.0	30.0	Room	Ambient						DTB						
CPAB02	AB-DTB-002-P	4-Apr-96	31-Dec-00	BD-VNIR	300	2600	5.0	30.0	0.0	0.0	30.0	Room	Ambient						DTB						
C1AB03	AB-DTB-003	17-Feb-99	17-Feb-02	BD-VNIR	300	2600	5.0	30.0	0.0	0.0	30.0	Room	Ambient			11.0	In	Out	DTB	DTB	Active Missions 				
