PO	GeneralType	Type	SubType
LU	Experimental	Polymict Breccia	Fused Impact Melt Breccia 
LU	Experimental	Polymict Breccia Glass	Fused Vesicular Micropoikilitic Impact Breccia
LU	Man-Made	Mixture 	Lunar Rock Crystal Glass
LU	Mineral 	Pristine Silicate (Neso) 	Dunite Olivine
LU	Mineral 	Silicate	Plagioclase 
LU	Mineral 	Silicate (Ino) 	Norite Pyroxene Orthopyroxene 
LU	Mineral 	Silicate (Ino) 	Pyroxene Clinopyroxene
LU	Mineral 	Silicate (Neso) 	Olivine 
LU	Mineral 	Silicate (Tecto)	Maskelynite 
LU	Mineral 	Silicate (Tecto)	Plagioclase 
LU	Mineral Sep.	Pristine Silicate (Tecto)	Plagioclase Anorthite Anorthosite 
LU	Rock	1-2=Pristine/3-5=Breccia	1=Anorthosite/2=Norite/3-5=Regolith Breccia Mrx 
LU	Rock	A-D=Pristine/E-I=Breccia	AnorthositeAB/Gabbroic AnorthositeCD/Breccia Mrx
LU	Rock	Breccia 	Regolith Breccia
LU	Rock	Breccia/Pristine	Matrix Breccia/Gabbroic Anorthosite 
LU	Rock	Highland	Bulk
LU	Rock	Highland Breccia	Bulk
LU	Rock	Igneous 	(Clast) 
LU	Rock	Igneous 	Norite
LU	Rock	Igneous Plutonic	Noritic Anorthosite Clast 
LU	Rock	Igneous Plutonic	Troctolite
LU	Rock	Igneous Plutonic	Troctolite Impact Melt Clast
LU	Rock	Igneous Plutonic	Troctolite Olivine
LU	Rock	Igneous Pyroclastic 	Bulk
LU	Rock	Igneous Volcanic	Basalt
LU	Rock	Igneous Volcanic	Basalt Rock-Glass Mixture 
LU	Rock	Igneous Volcanic	Intersertal Basalt
LU	Rock	Igneous Volcanic	Mare Basalt 
LU	Rock	Igneous Volcanic	Plagioclase/Pyroxene Glass
LU	Rock	Igneous Volcanic	Porphyritic Olivine-Pyroxene Basalt 
LU	Rock	Igneous Volcanic	Porphyritic Pyroxene Basalt 
LU	Rock	Igneous Volcanic	Porphyritic Pyroxene-Olivine Basalt 
LU	Rock	Impact Melt 	Glass 
LU	Rock	Impact Melt 	Glass + Basaltic Melt 
LU	Rock	Impact Melt 	Glass + Lithic
LU	Rock	Impact Melt 	Ropy Glass
LU	Rock	Impact Melt 	
LU	Rock	Mare Breccia	Bulk
LU	Rock	Mare Breccia	
LU	Rock	Monomict Breccia	Cataclastic Gabbro (Olivine)
LU	Rock	Monomict Breccia	Cataclastic Metagabbro
LU	Rock	Polymict Breccia	(Clast) 
LU	Rock	Polymict Breccia	Clast-Rich Impact Melt Breccia
LU	Rock	Polymict Breccia	Dark-Matrix Regolith Breccia
LU	Rock	Polymict Breccia	Fragmental Breccia
LU	Rock	Polymict Breccia	Fragmental Breccia Norite 
LU	Rock	Polymict Breccia	Fragmental Breccia(?) 
LU	Rock	Polymict Breccia	Glass-coated Regolith Breccia 
LU	Rock	Polymict Breccia	Glassy melt Breccia 
LU	Rock	Polymict Breccia	Granulitic Impactite
LU	Rock	Polymict Breccia	Impact Melt Breccia 
LU	Rock	Polymict Breccia	Impact Melt Breccia Clast 
LU	Rock	Polymict Breccia	Impact Melt Dike Cataclastic Norite 
LU	Rock	Polymict Breccia	Light-Matrix Fragmental Breccia 
LU	Rock	Polymict Breccia	Low-Calcium Impact Melt Breccia 
LU	Rock	Polymict Breccia	Micropoikilitic Impact Melt Breccia 
LU	Rock	Polymict Breccia	Poikilitic Impact Melt Breccia Clast
LU	Rock	Polymict Breccia	Regolith Breccia
LU	Rock	Polymict Breccia	Vesicular Micropoikilitic Impact Melt Breccia 
LU	Rock	Polymict Breccia	
LU	Rock	Pristine	Noritic Troctolite/Troctolite 
LU	Rock	Pristine Plutonic 	Dunite Olivine
LU	Rock	Pristine Plutonic 	Ferroan Anorthosite Anorthite 
LU	Rock		(Clast) 
LU	Rock		Glass 
LU	Rock Fines	Igneous Volcanic	Poikilitic Plagioclase Basalt 
LU	Rock Powder 	Igneous Volcanic	Basalt
LU	Rock Powder 	Polymict Breccia	Regolith Breccia
LU	Soi;	Highland Boundary 	Nonmagnetic 
LU	Soil	Highland	Bulk
LU	Soil	Highland	Bulk Core Sample
LU	Soil	Highland	Bulk Immature 
LU	Soil	Highland	Bulk Mature 
LU	Soil	Highland	Bulk Mixture
LU	Soil	Highland	Bulk or Nonmagnetic (see text)
LU	Soil	Highland	Bulk Submature
LU	Soil	Highland	Magnetic
LU	Soil	Highland	Magnetic Mixture
LU	Soil	Highland	Mixture 
LU	Soil	Highland	Nonmagnetic 
LU	Soil	Highland	Nonmagnetic Mixture 
LU	Soil	Highland	
LU	Soil	Highland Boundary 	Bulk
LU	Soil	Highland Boundary 	Magnetic
LU	Soil	Highland Boundary 	Nonmagnetic 
LU	Soil	Highland/Mantle 	Bulk
LU	Soil	Highland/Mantle 	Magnetic
LU	Soil	Highland/Mantle 	Nonmagnetic 
LU	Soil	Mare	Bulk
LU	Soil	Mare	Bulk Core Sample
LU	Soil	Mare	Bulk Core Sample Mixture
LU	Soil	Mare	Bulk Mixture
LU	Soil	Mare	Magnetic
LU	Soil	Mare	Magnetic Mixture
LU	Soil	Mare	Nonmagnetic 
LU	Soil	Mare	Nonmagnetic Mixture 
LU	Soil	Mare	Sorted
LU	Soil	Mare	
LU	Soil	Mare Breccia	Aglutinate
LU	Soil	Mare Breccia	Bulk
LU	Soil	Mare Breccia	Magnetic
LU	Soil	Mare Breccia	Nonmagnetic 
LU	Soil	Mare/Mantle 	Bulk
LU	Soil	Mare/Mantle 	Bulk Core Sample
LU	Soil	Mare/Mantle 	Magnetic
LU	Soil	Mare/Mantle 	Nonmagnetic 
LU	Soil	Mixture 	Bulk
LU	Soil		Black Spherules 
LU	Soil		Bulk
LU	Soil		Green Glass 
LU	Soil		Magnetic
LU	Soil		Mixture 
LU	Soil		Orange Glass
LU			Bulk
LU			
NE	Mineral 	Oxide 	Chromite
NE	Mineral 	Silicate (Ino)	Enstatite Orthopyroxene Pyroxene Aubrite
PE	Experimental	Silicate (Neso)	Olivine Hortonolite Reacted 
PE	Experimental		Eroded Soil 
TE	Man-Made 	Mixture 	50/50 Olivine/Anorthite 
TE	AMP 	Dune Sand 	
TE	Biologica 	Plant 	Grass 
TE	Biological	Animal	Anomia Simplex
TE	Biological	Animal	Barnacle
TE	Biological	Animal	Black Coral 
TE	Biological	Animal	Brachiopod
TE	Biological	Animal	Clam
TE	Biological	Animal	Clam Quahog 
TE	Biological	Animal	Clam Shell
TE	Biological	Animal	Clypeaster Rosacea
TE	Biological	Animal	Conch Shell 
TE	Biological	Animal	Coral 
TE	Biological	Animal	Coral (Acropora cervicornis)
TE	Biological	Animal	Coral (Halimeda)
TE	Biological	Animal	Echinoderm
TE	Biological	Animal	Echinoid
TE	Biological	Animal	Echinoid Mellita Quinquiesperforata 
TE	Biological	Animal	Foraminifera Archais
TE	Biological	Animal	Foraminifera Cyclorbiculina 
TE	Biological	Animal	Goniolithon 
TE	Biological	Animal	Gorgonian Sea Whip
TE	Biological	Animal	Halimeda
TE	Biological	Animal	Lytechinus
TE	Biological	Animal	Lytechinus variegatus 
TE	Biological	Animal	Ooids 
TE	Biological	Animal	Oyster
TE	Biological	Animal	Sand Dollar 
TE	Biological	Animal	Sand Dollar (Encope marginata)
TE	Biological	Animal	Sea Biscuit (Clypeaster rosaceus) 
TE	Biological	Animal	Sea Bisquit 
TE	Biological	Animal	Sea Urchin
TE	Biological	Animal	Strombus Gigas
TE	Biological	Animal	
TE	Biological	Animal Carbonate	Coral Acropora Palmata
TE	Biological	Animal Carbonate	Coral Aragonite 
TE	Biological	Animal Carbonate	Coral Halimeda incrassata 
TE	Biological	Animal Carbonate	Eggshell
TE	Biological	Animal Carbonate	Sand Dollars (High-Mg Calcite)
TE	Biological	Carbonate 	Aragonite 
TE	Biological	Carbonate 	Calcite 
TE	Biological	Fungus	Macrobytroidal Fungus 
TE	Biological	Plant 	Algae 
TE	Biological	Plant 	Bark
TE	Biological	Plant 	Barley Tops 
TE	Biological	Plant 	Big Sagebrush Leaf
TE	Biological	Plant 	Cocoa 
TE	Biological	Plant 	Cotton
TE	Biological	Plant 	Dead Grass
TE	Biological	Plant 	Dried Grass 
TE	Biological	Plant 	Goniolithon (red algae) 
TE	Biological	Plant 	Grass 
TE	Biological	Plant 	Grass Ash 
TE	Biological	Plant 	Grass Brown 
TE	Biological	Plant 	Grass Burnt 
TE	Biological	Plant 	Grass Yellow
TE	Biological	Plant 	Green Maple Leaf
TE	Biological	Plant 	Green Sycamore Leaf 
TE	Biological	Plant 	Leaf Bark 
TE	Biological	Plant 	Maple Leaf Buds Stems 
TE	Biological	Plant 	Red Leaf
TE	Biological	Plant 	Soybean Seed
TE	Biological	Plant 	Stem
TE	Biological	Plant 	Wood Ash
TE	Biological	Tree	Beach Leaf
TE	Biological	Tree	Leaf
TE	Biological	Tree	Maple Tree Buds Stems 
TE	Biological	Tree	Norway Maple Bark 
TE	Biological	Tree	Oak Leaf
TE	Biological	Tree	Pine Branch 
TE	Biological	Tree	Red Maple Leaf
TE	Biological	Tree	Silver Birch Bark 
TE	Biological	Tree	Sycamore Maple Leaf 
TE	Biological	Tree	White Birch Bark
TE	Biological		Cheese
TE	Biological		Moss
TE	Biological		
TE	Rock	Sedimentary 	Shale 
TE	Coating 	Polymer 	Er Polysiloxane 
TE	Coating 	Polymer 	"Yb,Er Polysiloxane"
TE	Element 	Metal 	Copper
TE	Element 	Metal 	Gold
TE	Element 	Metal 	Iron
TE	Element 	Metal 	Nickel
TE	Element 		Silicon 
TE	Experimental	Carbonate 	Calcite Reacted 
TE	Experimental	Carbonate 	Dolomite(?) Shocked 
TE	Experimental	Carbonate 	Heated Gaylussite 
TE	Experimental	Carbonate 	Heated Hydromagnesite 
TE	Experimental	Carbonate 	Heated Hydrotalcite 
TE	Experimental	Carbonate 	Heated Manasseite 
TE	Experimental	Carbonate 	Heated Pirssonite 
TE	Experimental	Carbonate 	Heated Thermonatrite
TE	Experimental	Carbonate 	Heated Trona
TE	Experimental	Deep Ocean Sediment 	Dithionite Treated Hematite Clay
TE	Experimental	Heated	Nontronite
TE	Experimental	Hydroxide	Altered Ferrihydrite
TE	Experimental	Hydroxide	Altered Ferrihydrite Alanine
TE	Experimental	Hydroxide	Altered Ferrihydrite Glucose
